,unemployment,Date,consumer_sentiment,g_unemployment,g_gas,g_food_stamps,fs_households,retail_gas
0,3.4,1948-01,,,,,,
74,3.8,1948-02,,,,,,
148,4.0,1948-03,,,,,,
222,3.9,1948-04,,,,,,
296,3.5,1948-05,,,,,,
370,3.6,1948-06,,,,,,
444,3.6,1948-07,,,,,,
518,3.9,1948-08,,,,,,
592,3.8,1948-09,,,,,,
666,3.7,1948-10,,,,,,
740,3.8,1948-11,,,,,,
814,4.0,1948-12,,,,,,
1,4.3,1949-01,,,,,,
75,4.7,1949-02,,,,,,
149,5.0,1949-03,,,,,,
223,5.3,1949-04,,,,,,
297,6.1,1949-05,,,,,,
371,6.2,1949-06,,,,,,
445,6.7,1949-07,,,,,,
519,6.8,1949-08,,,,,,
593,6.6,1949-09,,,,,,
667,7.9,1949-10,,,,,,
741,6.4,1949-11,,,,,,
815,6.6,1949-12,,,,,,
2,6.5,1950-01,,,,,,
76,6.4,1950-02,,,,,,
150,6.3,1950-03,,,,,,
224,5.8,1950-04,,,,,,
298,5.5,1950-05,,,,,,
372,5.4,1950-06,,,,,,
446,5.0,1950-07,,,,,,
520,4.5,1950-08,,,,,,
594,4.4,1950-09,,,,,,
668,4.2,1950-10,,,,,,
742,4.2,1950-11,,,,,,
816,4.3,1950-12,,,,,,
3,3.7,1951-01,,,,,,
77,3.4,1951-02,,,,,,
151,3.4,1951-03,,,,,,
225,3.1,1951-04,,,,,,
299,3.0,1951-05,,,,,,
373,3.2,1951-06,,,,,,
447,3.1,1951-07,,,,,,
521,3.1,1951-08,,,,,,
595,3.3,1951-09,,,,,,
669,3.5,1951-10,,,,,,
743,3.5,1951-11,,,,,,
817,3.1,1951-12,,,,,,
4,3.2,1952-01,,,,,,
78,3.1,1952-02,,,,,,
152,2.9,1952-03,,,,,,
226,2.9,1952-04,,,,,,
300,3.0,1952-05,,,,,,
374,3.0,1952-06,,,,,,
448,3.2,1952-07,,,,,,
522,3.4,1952-08,,,,,,
596,3.1,1952-09,,,,,,
670,3.0,1952-10,,,,,,
744,2.8,1952-11,,,,,,
818,2.7,1952-12,,,,,,
5,2.9,1953-01,,,,,,
79,2.6,1953-02,,,,,,
153,2.6,1953-03,,,,,,
227,2.7,1953-04,,,,,,
301,2.5,1953-05,,,,,,
375,2.5,1953-06,,,,,,
449,2.6,1953-07,,,,,,
523,2.7,1953-08,,,,,,
597,2.9,1953-09,,,,,,
671,3.1,1953-10,,,,,,
745,3.5,1953-11,,,,,,
819,4.5,1953-12,,,,,,
6,4.9,1954-01,,,,,,
80,5.2,1954-02,,,,,,
154,5.7,1954-03,,,,,,
228,5.9,1954-04,,,,,,
302,5.9,1954-05,,,,,,
376,5.6,1954-06,,,,,,
450,5.8,1954-07,,,,,,
524,6.0,1954-08,,,,,,
598,6.1,1954-09,,,,,,
672,5.7,1954-10,,,,,,
746,5.3,1954-11,,,,,,
820,5.0,1954-12,,,,,,
7,4.9,1955-01,,,,,,
81,4.7,1955-02,,,,,,
155,4.6,1955-03,,,,,,
229,4.7,1955-04,,,,,,
303,4.3,1955-05,,,,,,
377,4.2,1955-06,,,,,,
451,4.0,1955-07,,,,,,
525,4.2,1955-08,,,,,,
599,4.1,1955-09,,,,,,
673,4.3,1955-10,,,,,,
747,4.2,1955-11,,,,,,
821,4.2,1955-12,,,,,,
8,4.0,1956-01,,,,,,
82,3.9,1956-02,,,,,,
156,4.2,1956-03,,,,,,
230,4.0,1956-04,,,,,,
304,4.3,1956-05,,,,,,
378,4.3,1956-06,,,,,,
452,4.4,1956-07,,,,,,
526,4.1,1956-08,,,,,,
600,3.9,1956-09,,,,,,
674,3.9,1956-10,,,,,,
748,4.3,1956-11,,,,,,
822,4.2,1956-12,,,,,,
9,4.2,1957-01,,,,,,
83,3.9,1957-02,,,,,,
157,3.7,1957-03,,,,,,
231,3.9,1957-04,,,,,,
305,4.1,1957-05,,,,,,
379,4.3,1957-06,,,,,,
453,4.2,1957-07,,,,,,
527,4.1,1957-08,,,,,,
601,4.4,1957-09,,,,,,
675,4.5,1957-10,,,,,,
749,5.1,1957-11,,,,,,
823,5.2,1957-12,,,,,,
10,5.8,1958-01,,,,,,
84,6.4,1958-02,,,,,,
158,6.7,1958-03,,,,,,
232,7.4,1958-04,,,,,,
306,7.4,1958-05,,,,,,
380,7.3,1958-06,,,,,,
454,7.5,1958-07,,,,,,
528,7.4,1958-08,,,,,,
602,7.1,1958-09,,,,,,
676,6.7,1958-10,,,,,,
750,6.2,1958-11,,,,,,
824,6.2,1958-12,,,,,,
11,6.0,1959-01,,,,,,
85,5.9,1959-02,,,,,,
159,5.6,1959-03,,,,,,
233,5.2,1959-04,,,,,,
307,5.1,1959-05,,,,,,
381,5.0,1959-06,,,,,,
455,5.1,1959-07,,,,,,
529,5.2,1959-08,,,,,,
603,5.5,1959-09,,,,,,
677,5.7,1959-10,,,,,,
751,5.8,1959-11,,,,,,
825,5.3,1959-12,,,,,,
12,5.2,1960-01,,,,,,
86,4.8,1960-02,,,,,,
160,5.4,1960-03,,,,,,
234,5.2,1960-04,,,,,,
308,5.1,1960-05,,,,,,
382,5.4,1960-06,,,,,,
456,5.5,1960-07,,,,,,
530,5.6,1960-08,,,,,,
604,5.5,1960-09,,,,,,
678,6.1,1960-10,,,,,,
752,6.1,1960-11,,,,,,
826,6.6,1960-12,,,,,,
13,6.6,1961-01,,,,,,
87,6.9,1961-02,,,,,,
161,6.9,1961-03,,,,,,
235,7.0,1961-04,,,,,,
309,7.1,1961-05,,,,,,
383,6.9,1961-06,,,,,,
457,7.0,1961-07,,,,,,
531,6.6,1961-08,,,,,,
605,6.7,1961-09,,,,,,
679,6.5,1961-10,,,,,,
753,6.1,1961-11,,,,,,
827,6.0,1961-12,,,,,,
14,5.8,1962-01,,,,,,
88,5.5,1962-02,,,,,,
162,5.6,1962-03,,,,,,
236,5.6,1962-04,,,,,,
310,5.5,1962-05,,,,,,
384,5.5,1962-06,,,,,,
458,5.4,1962-07,,,,,,
532,5.7,1962-08,,,,,,
606,5.6,1962-09,,,,,,
680,5.4,1962-10,,,,,,
754,5.7,1962-11,,,,,,
828,5.5,1962-12,,,,,,
15,5.7,1963-01,,,,,,
89,5.9,1963-02,,,,,,
163,5.7,1963-03,,,,,,
237,5.7,1963-04,,,,,,
311,5.9,1963-05,,,,,,
385,5.6,1963-06,,,,,,
459,5.6,1963-07,,,,,,
533,5.4,1963-08,,,,,,
607,5.5,1963-09,,,,,,
681,5.5,1963-10,,,,,,
755,5.7,1963-11,,,,,,
829,5.5,1963-12,,,,,,
16,5.6,1964-01,,,,,,
90,5.4,1964-02,,,,,,
164,5.4,1964-03,,,,,,
238,5.3,1964-04,,,,,,
312,5.1,1964-05,,,,,,
386,5.2,1964-06,,,,,,
460,4.9,1964-07,,,,,,
534,5.0,1964-08,,,,,,
608,5.1,1964-09,,,,,,
682,5.1,1964-10,,,,,,
756,4.8,1964-11,,,,,,
830,5.0,1964-12,,,,,,
17,4.9,1965-01,,,,,,
91,5.1,1965-02,,,,,,
165,4.7,1965-03,,,,,,
239,4.8,1965-04,,,,,,
313,4.6,1965-05,,,,,,
387,4.6,1965-06,,,,,,
461,4.4,1965-07,,,,,,
535,4.4,1965-08,,,,,,
609,4.3,1965-09,,,,,,
683,4.2,1965-10,,,,,,
757,4.1,1965-11,,,,,,
831,4.0,1965-12,,,,,,
18,4.0,1966-01,,,,,,
92,3.8,1966-02,,,,,,
166,3.8,1966-03,,,,,,
240,3.8,1966-04,,,,,,
314,3.9,1966-05,,,,,,
388,3.8,1966-06,,,,,,
462,3.8,1966-07,,,,,,
536,3.8,1966-08,,,,,,
610,3.7,1966-09,,,,,,
684,3.7,1966-10,,,,,,
758,3.6,1966-11,,,,,,
832,3.8,1966-12,,,,,,
19,3.9,1967-01,,,,,,
93,3.8,1967-02,,,,,,
167,3.8,1967-03,,,,,,
241,3.8,1967-04,,,,,,
315,3.8,1967-05,,,,,,
389,3.9,1967-06,,,,,,
463,3.8,1967-07,,,,,,
537,3.8,1967-08,,,,,,
611,3.8,1967-09,,,,,,
685,4.0,1967-10,,,,,,
759,3.9,1967-11,,,,,,
833,3.8,1967-12,,,,,,
20,3.7,1968-01,,,,,,
94,3.8,1968-02,,,,,,
168,3.7,1968-03,,,,,,
242,3.5,1968-04,,,,,,
316,3.5,1968-05,,,,,,
390,3.7,1968-06,,,,,,
464,3.7,1968-07,,,,,,
538,3.5,1968-08,,,,,,
612,3.4,1968-09,,,,,,
686,3.4,1968-10,,,,,,
760,3.4,1968-11,,,,,,
834,3.4,1968-12,,,,,,
21,3.4,1969-01,,,,,,
95,3.4,1969-02,,,,,,
169,3.4,1969-03,,,,,,
243,3.4,1969-04,,,,,,
317,3.4,1969-05,,,,,,
391,3.5,1969-06,,,,,,
465,3.5,1969-07,,,,,,
539,3.5,1969-08,,,,,,
613,3.7,1969-09,,,,,,
687,3.7,1969-10,,,,,,
761,3.5,1969-11,,,,,,
835,3.5,1969-12,,,,,,
22,3.9,1970-01,,,,,,
96,4.2,1970-02,,,,,,
170,4.4,1970-03,,,,,,
244,4.6,1970-04,,,,,,
318,4.8,1970-05,,,,,,
392,4.9,1970-06,,,,,,
466,5.0,1970-07,,,,,,
540,5.1,1970-08,,,,,,
614,5.4,1970-09,,,,,,
688,5.5,1970-10,,,,,,
762,5.9,1970-11,,,,,,
836,6.1,1970-12,,,,,,
23,5.9,1971-01,,,,,,
97,5.9,1971-02,,,,,,
171,6.0,1971-03,,,,,,
245,5.9,1971-04,,,,,,
319,5.9,1971-05,,,,,,
393,5.9,1971-06,,,,,,
467,6.0,1971-07,,,,,,
541,6.1,1971-08,,,,,,
615,6.0,1971-09,,,,,,
689,5.8,1971-10,,,,,,
763,6.0,1971-11,,,,,,
837,6.0,1971-12,,,,,,
24,5.8,1972-01,,,,,,
98,5.7,1972-02,,,,,,
172,5.8,1972-03,,,,,,
246,5.7,1972-04,,,,,,
320,5.7,1972-05,,,,,,
394,5.7,1972-06,,,,,,
468,5.6,1972-07,,,,,,
542,5.6,1972-08,,,,,,
616,5.5,1972-09,,,,,,
690,5.6,1972-10,,,,,,
764,5.3,1972-11,,,,,,
838,5.2,1972-12,,,,,,
25,4.9,1973-01,,,,,,
99,5.0,1973-02,,,,,,
173,4.9,1973-03,,,,,,
247,5.0,1973-04,,,,,,
321,4.9,1973-05,,,,,,
395,4.9,1973-06,,,,,,
469,4.8,1973-07,,,,,,
543,4.8,1973-08,,,,,,
617,4.8,1973-09,,,,,,
691,4.6,1973-10,,,,,,
765,4.8,1973-11,,,,,,
839,4.9,1973-12,,,,,,
26,5.1,1974-01,,,,,,
100,5.2,1974-02,,,,,,
174,5.1,1974-03,,,,,,
248,5.1,1974-04,,,,,,
322,5.1,1974-05,,,,,,
396,5.4,1974-06,,,,,,
470,5.5,1974-07,,,,,,
544,5.5,1974-08,,,,,,
618,5.9,1974-09,,,,,,
692,6.0,1974-10,,,,,,
766,6.6,1974-11,,,,,,
840,7.2,1974-12,,,,,,
27,8.1,1975-01,,,,,,
101,8.1,1975-02,,,,,,
175,8.6,1975-03,,,,,,
249,8.8,1975-04,,,,,,
323,9.0,1975-05,,,,,,
397,8.8,1975-06,,,,,,
471,8.6,1975-07,,,,,,
545,8.4,1975-08,,,,,,
619,8.4,1975-09,,,,,,
693,8.4,1975-10,,,,,,
767,8.3,1975-11,,,,,,
841,8.2,1975-12,,,,,,
28,7.9,1976-01,,,,,,
102,7.7,1976-02,,,,,,
176,7.6,1976-03,,,,,,
250,7.7,1976-04,,,,,,
324,7.4,1976-05,,,,,,
398,7.6,1976-06,,,,,,
472,7.8,1976-07,,,,,,
546,7.8,1976-08,,,,,,
620,7.6,1976-09,,,,,,
694,7.7,1976-10,,,,,,
768,7.8,1976-11,,,,,,
842,7.8,1976-12,,,,,,
29,7.5,1977-01,,,,,,
103,7.6,1977-02,,,,,,
177,7.4,1977-03,,,,,,
251,7.2,1977-04,,,,,,
325,7.0,1977-05,,,,,,
399,7.2,1977-06,,,,,,
473,6.9,1977-07,,,,,,
547,7.0,1977-08,,,,,,
621,6.8,1977-09,,,,,,
695,6.8,1977-10,,,,,,
769,6.8,1977-11,,,,,,
843,6.4,1977-12,,,,,,
30,6.4,1978-01,83.7,,,,,
104,6.3,1978-02,84.3,,,,,
178,6.3,1978-03,78.8,,,,,
252,6.1,1978-04,81.6,,,,,
326,6.0,1978-05,82.9,,,,,
400,5.9,1978-06,80.0,,,,,
474,6.2,1978-07,82.4,,,,,
548,5.9,1978-08,78.4,,,,,
622,6.0,1978-09,80.4,,,,,
696,5.8,1978-10,79.3,,,,,
770,5.9,1978-11,75.0,,,,,
844,6.0,1978-12,66.1,,,,,
31,5.9,1979-01,72.1,,,,,
105,5.9,1979-02,73.9,,,,,
179,5.8,1979-03,68.4,,,,,
253,5.8,1979-04,66.0,,,,,
327,5.6,1979-05,68.1,,,,,
401,5.7,1979-06,65.8,,,,,
475,5.7,1979-07,60.4,,,,,
549,6.0,1979-08,64.5,,,,,
623,5.9,1979-09,66.7,,,,,
697,6.0,1979-10,62.1,,,,,
771,5.9,1979-11,63.3,,,,,
845,6.0,1979-12,61.0,,,,,
32,6.3,1980-01,67.0,,,,,
106,6.3,1980-02,66.9,,,,,
180,6.3,1980-03,56.5,,,,,
254,6.9,1980-04,52.7,,,,,
328,7.5,1980-05,51.7,,,,,
402,7.6,1980-06,58.7,,,,,
476,7.8,1980-07,62.3,,,,,
550,7.7,1980-08,67.3,,,,,
624,7.5,1980-09,73.7,,,,,
698,7.5,1980-10,75.0,,,,,
772,7.5,1980-11,76.7,,,,,
846,7.2,1980-12,64.5,,,,,
33,7.5,1981-01,71.4,,,,,
107,7.4,1981-02,66.9,,,,,
181,7.4,1981-03,66.5,,,,,
255,7.2,1981-04,72.4,,,,,
329,7.5,1981-05,76.3,,,,,
403,7.5,1981-06,73.1,,,,,
477,7.2,1981-07,74.1,,,,,
551,7.4,1981-08,77.2,,,,,
625,7.6,1981-09,73.1,,,,,
699,7.9,1981-10,70.3,,,,,
773,8.3,1981-11,62.5,,,,,
847,8.5,1981-12,64.3,,,,,
34,8.6,1982-01,71.0,,,,,
108,8.9,1982-02,66.5,,,,,
182,9.0,1982-03,62.0,,,,,
256,9.3,1982-04,65.5,,,,,
330,9.4,1982-05,67.5,,,,,
404,9.6,1982-06,65.7,,,,,
478,9.8,1982-07,65.4,,,,,
552,9.8,1982-08,65.4,,,,,
626,10.1,1982-09,69.3,,,,,
700,10.4,1982-10,73.4,,,,,
774,10.8,1982-11,72.1,,,,,
848,10.8,1982-12,71.9,,,,,
35,10.4,1983-01,70.4,,,,,
109,10.4,1983-02,74.6,,,,,
183,10.3,1983-03,80.8,,,,,
257,10.2,1983-04,89.1,,,,,
331,10.1,1983-05,93.3,,,,,
405,10.1,1983-06,92.2,,,,,
479,9.4,1983-07,92.8,,,,,
553,9.5,1983-08,90.9,,,,,
627,9.2,1983-09,89.9,,,,,
701,8.8,1983-10,89.3,,,,,
775,8.5,1983-11,91.1,,,,,
849,8.3,1983-12,94.2,,,,,
36,8.0,1984-01,100.1,,,,,
110,7.8,1984-02,97.4,,,,,
184,7.8,1984-03,101.0,,,,,
258,7.7,1984-04,96.1,,,,,
332,7.4,1984-05,98.1,,,,,
406,7.2,1984-06,95.5,,,,,
480,7.5,1984-07,96.6,,,,,
554,7.5,1984-08,99.1,,,,,
628,7.3,1984-09,100.9,,,,,
702,7.4,1984-10,96.3,,,,,
776,7.2,1984-11,95.7,,,,,
850,7.3,1984-12,92.9,,,,,
37,7.3,1985-01,96.0,,,,,
111,7.2,1985-02,93.7,,,,,
185,7.2,1985-03,93.7,,,,,
259,7.3,1985-04,94.6,,,,,
333,7.2,1985-05,91.8,,,,,
407,7.4,1985-06,96.5,,,,,
481,7.4,1985-07,94.0,,,,,
555,7.1,1985-08,92.4,,,,,
629,7.1,1985-09,92.1,,,,,
703,7.1,1985-10,88.4,,,,,
777,7.0,1985-11,90.9,,,,,
851,7.0,1985-12,93.9,,,,,
38,6.7,1986-01,95.6,,,,,
112,7.2,1986-02,95.9,,,,,
186,7.2,1986-03,95.1,,,,,
260,7.1,1986-04,96.2,,,,,
334,7.2,1986-05,94.8,,,,,
408,7.2,1986-06,99.3,,,,,
482,7.0,1986-07,97.7,,,,,
556,6.9,1986-08,94.9,,,,,
630,7.0,1986-09,91.9,,,,,
704,7.0,1986-10,95.6,,,,,
778,6.9,1986-11,91.4,,,,,
852,6.6,1986-12,89.1,,,,,
39,6.6,1987-01,90.4,,,,,
113,6.6,1987-02,90.2,,,,,
187,6.6,1987-03,90.8,,,,,
261,6.3,1987-04,92.8,,,,,
335,6.3,1987-05,91.1,,,,,
409,6.2,1987-06,91.5,,,,,
483,6.1,1987-07,93.7,,,,,
557,6.0,1987-08,94.4,,,,,
631,5.9,1987-09,93.6,,,,,
705,6.0,1987-10,89.3,,,,,
779,5.8,1987-11,83.1,,,,,
853,5.7,1987-12,86.8,,,,,
40,5.7,1988-01,90.8,,,,,
114,5.7,1988-02,91.6,,,,,
188,5.7,1988-03,94.6,,,,,
262,5.4,1988-04,91.2,,,,,
336,5.6,1988-05,94.8,,,,,
410,5.4,1988-06,94.7,,,,,
484,5.4,1988-07,93.4,,,,,
558,5.6,1988-08,97.4,,,,,
632,5.4,1988-09,97.3,,,,,
706,5.4,1988-10,94.1,,,,7047600.0,
780,5.3,1988-11,93.0,,,,7067674.0,
854,5.3,1988-12,91.9,,,,7159716.0,
41,5.4,1989-01,97.9,,,,7215717.0,
115,5.2,1989-02,95.4,,,,7215334.0,
189,5.0,1989-03,94.3,,,,7364011.0,
263,5.2,1989-04,91.5,,,,7313190.0,
337,5.2,1989-05,90.7,,,,7271382.0,
411,5.3,1989-06,90.6,,,,7273655.0,
485,5.2,1989-07,92.0,,,,7217942.0,
559,5.2,1989-08,89.6,,,,7273683.0,
633,5.3,1989-09,95.8,,,,7353057.0,
707,5.3,1989-10,93.9,,,,7530570.0,
781,5.4,1989-11,90.9,,,,7472567.0,
855,5.4,1989-12,90.5,,,,7549452.0,
42,5.4,1990-01,93.0,,,,7703464.0,
116,5.3,1990-02,89.5,,,,7755082.0,
190,5.2,1990-03,91.3,,,,7928492.0,
264,5.4,1990-04,93.9,,,,7914472.0,
338,5.4,1990-05,90.6,,,,7910731.0,
412,5.2,1990-06,88.3,,,,7930300.0,
486,5.5,1990-07,88.2,,,,7926752.0,
560,5.7,1990-08,76.4,,,,7940486.0,
634,5.9,1990-09,72.8,,,,7987188.0,
708,5.9,1990-10,63.9,,,,8190859.0,
782,6.2,1990-11,66.0,,,,8333283.0,
856,6.3,1990-12,65.5,,,,8478766.0,
43,6.4,1991-01,66.8,,,,8618472.0,
117,6.6,1991-02,70.4,,,,8807293.0,
191,6.8,1991-03,87.7,,,,8987744.0,
265,6.7,1991-04,81.8,,,,9099268.0,
339,6.9,1991-05,78.3,,,,9099447.0,
413,6.9,1991-06,82.1,,,,9119030.0,
487,6.8,1991-07,82.9,,,,9155090.0,
561,6.9,1991-08,82.0,,,,9303031.0,
635,6.9,1991-09,83.0,,,,9336932.0,
709,7.0,1991-10,78.3,,,,9507747.0,
783,7.0,1991-11,69.1,,,,9646968.0,
857,7.3,1991-12,68.2,,,,9818276.0,
44,7.3,1992-01,67.5,,,,9949438.0,
118,7.4,1992-02,68.8,,,,10033543.0,
192,7.4,1992-03,76.0,,,,10195482.0,
266,7.4,1992-04,77.2,,,,10237594.0,
340,7.6,1992-05,79.2,,,,10167827.0,
414,7.8,1992-06,80.4,,,,10216373.0,
488,7.7,1992-07,76.6,,,,10225574.0,
562,7.6,1992-08,76.1,,,,10268312.0,
636,7.6,1992-09,75.6,,,,10456556.0,
710,7.3,1992-10,73.3,,,,10475798.0,
784,7.4,1992-11,85.3,,,,10520692.0,
858,7.4,1992-12,91.0,,,,10641102.0,
45,7.3,1993-01,89.3,,,,10718200.0,
119,7.1,1993-02,86.6,,,,10745439.0,
193,7.0,1993-03,85.9,,,,10944053.0,
267,7.1,1993-04,85.6,,,,10930446.0,1.078
341,7.1,1993-05,80.3,,,,10901101.0,1.1
415,7.0,1993-06,81.5,,,,10898687.0,1.097
489,6.9,1993-07,77.0,,,,10911052.0,1.078
563,6.8,1993-08,77.3,,,,10909152.0,1.062
637,6.7,1993-09,77.9,,,,10887234.0,1.05
711,6.8,1993-10,82.7,,,,10940110.0,1.092
785,6.6,1993-11,81.2,,,,10996174.0,1.066
859,6.5,1993-12,88.2,,,,11045811.0,1.014
46,6.6,1994-01,94.3,,,,11166553.0,0.998
120,6.6,1994-02,93.2,,,,11291136.0,1.009
194,6.5,1994-03,91.5,,,,11278851.0,1.008
268,6.4,1994-04,92.6,,,,11173821.0,1.027
342,6.1,1994-05,92.8,,,,11119488.0,1.047
416,6.1,1994-06,91.2,,,,11064817.0,1.078
490,6.1,1994-07,89.0,,,,11027993.0,1.106
564,6.0,1994-08,91.7,,,,11020415.0,1.155
638,5.9,1994-09,91.5,,,,10969429.0,1.144
712,5.8,1994-10,92.7,,,,11006043.0,1.114
786,5.6,1994-11,91.6,,,,10960182.0,1.119
860,5.5,1994-12,95.1,,,,11044059.0,1.129
47,5.6,1995-01,97.6,,,,11043875.0,1.13
121,5.4,1995-02,95.1,,,,10935792.0,1.12
195,5.4,1995-03,90.3,,,,11080246.0,1.119
269,5.8,1995-04,92.5,,,,10912392.0,1.157
343,5.6,1995-05,89.8,,,,10835132.0,1.225
417,5.6,1995-06,92.7,,,,10774488.0,1.239
491,5.7,1995-07,94.4,,,,10659183.0,1.201
565,5.7,1995-08,96.2,,,,10664033.0,1.17
639,5.6,1995-09,88.9,,,,10636974.0,1.158
713,5.5,1995-10,90.2,,,,10674284.0,1.134
