Month,Shanty: (United States)
2004-01,44
2004-02,12
2004-03,15
2004-04,22
2004-05,17
2004-06,20
2004-07,14
2004-08,15
2004-09,15
2004-10,18
2004-11,12
2004-12,26
2005-01,22
2005-02,25
2005-03,12
2005-04,15
2005-05,12
2005-06,22
2005-07,19
2005-08,19
2005-09,15
2005-10,15
2005-11,15
2005-12,29
2006-01,28
2006-02,20
2006-03,20
2006-04,11
2006-05,20
2006-06,18
2006-07,24
2006-08,15
2006-09,14
2006-10,16
2006-11,19
2006-12,19
2007-01,34
2007-02,30
2007-03,19
2007-04,16
2007-05,14
2007-06,20
2007-07,20
2007-08,18
2007-09,15
2007-10,15
2007-11,20
2007-12,31
2008-01,26
2008-02,20
2008-03,20
2008-04,19
2008-05,19
2008-06,13
2008-07,18
2008-08,14
2008-09,15
2008-10,13
2008-11,16
2008-12,35
2009-01,35
2009-02,28
2009-03,25
2009-04,22
2009-05,17
2009-06,17
2009-07,21
2009-08,15
2009-09,20
2009-10,17
2009-11,19
2009-12,32
2010-01,35
2010-02,32
2010-03,21
2010-04,15
2010-05,18
2010-06,20
2010-07,21
2010-08,25
2010-09,18
2010-10,15
2010-11,18
2010-12,29
2011-01,43
2011-02,32
2011-03,27
2011-04,21
2011-05,19
2011-06,26
2011-07,22
2011-08,27
2011-09,19
2011-10,21
2011-11,25
2011-12,31
2012-01,43
2012-02,39
2012-03,24
2012-04,23
2012-05,23
2012-06,27
2012-07,29
2012-08,22
2012-09,20
2012-10,17
2012-11,22
2012-12,35
2013-01,40
2013-02,35
2013-03,30
2013-04,23
2013-05,23
2013-06,24
2013-07,30
2013-08,26
2013-09,19
2013-10,23
2013-11,31
2013-12,44
2014-01,51
2014-02,43
2014-03,35
2014-04,26
2014-05,25
2014-06,27
2014-07,30
2014-08,28
2014-09,22
2014-10,23
2014-11,25
2014-12,30
2015-01,48
2015-02,37
2015-03,32
2015-04,26
2015-05,23
2015-06,24
2015-07,26
2015-08,25
2015-09,25
2015-10,26
2015-11,23
2015-12,27
2016-01,38
2016-02,37
2016-03,22
2016-04,24
2016-05,26
2016-06,24
2016-07,32
2016-08,28
2016-09,21
2016-10,22
2016-11,24
2016-12,36
2017-01,35
2017-02,33
2017-03,27
2017-04,25
2017-05,22
2017-06,25
2017-07,28
2017-08,27
2017-09,20
2017-10,22
2017-11,22
2017-12,38
2018-01,50
2018-02,36
2018-03,28
2018-04,25
2018-05,23
2018-06,26
2018-07,30
2018-08,31
2018-09,25
2018-10,24
2018-11,27
2018-12,34
2019-01,51
2019-02,37
2019-03,29
2019-04,21
2019-05,26
2019-06,27
2019-07,28
2019-08,30
2019-09,25
2019-10,23
2019-11,25
2019-12,34
2020-01,33
2020-02,32
2020-03,23
2020-04,20
2020-05,30
2020-06,30
2020-07,28
2020-08,31
2020-09,27
2020-10,23
2020-11,22
2020-12,31
2021-01,100
2021-02,91